FID,id,source,project,pcode,site_name,today,visit,status,geom,longitude,latitude,ward_name,village_name,site_status,site_type,site_registration,site_registration_reason,site_registration_date,site_registration_owner,site_access,workers_numb,women_numb,women_activity,children_numb,children_activity,tools,workers_accomodation,mineral_numb,mineral1_name,selling_points,processing_location,processing_steps,environment,environment_comment,conflict,conflict_comment,incident,incident_comment,authorities,authorities_freq,protection_quantity,protection_equipment,facilities
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-647a,14,IPIS,IPIS - ZELA 2019,zwemine00013,nhamo,2019-02-20,1,1,POINT (30.1019810460734 -20.3210565743729),30.10198105,-20.32105657,13,machovo,Abandoned temporarily,Open Cast / Alluvial / trench,Yes,,2014-02-20,Individual,Truck Car Motorcycle,10,0,,0,,"shovel, picks",In a support village,1,Gold,Fidelity Directly,On site,Use of detectors straight to fidelity,Yes,degradation,None,,None,,CID,Irregularly,Most of them,Helmets Gumboots Worksuits (overalls),In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6479,15,IPIS,IPIS - ZELA 2019,zwemine00014,lameck madhumbu,2019-02-20,1,1,POINT (30.0992521212965 -20.3178515076244),30.09925212,-20.31785151,13,machovo,Production,Open Cast / Alluvial / trench,Yes,,2014-02-20,Individual,Truck Car Motorcycle,20,4,Washing / sluicing,0,,"shovels, picks",In a support village,1,Gold,Fidelity Directly,On site,Metal detectors,Yes,land degradation,None,,None,,CID,Monthly,Most of them,Helmets Gumboots Worksuits (overalls),In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6478,16,IPIS,IPIS - ZELA 2019,zwemine00015,Red knight,2019-02-20,1,1,POINT (30.0741626520893 -20.3163845578596),30.07416265,-20.31638456,8,Maglas,Production,underground / Reef,Yes,,2019-02-20,tributery,Truck,26,1,"Cooking, cleaning",0,,"Compressors Jack hammers Dumpers Hoist (winches) Pumps, picks, shovels",On a compound On site,1,Gold,Fidelity Directly,Milling point,,No,,None,,None,,CID Min of Mines EMA Local authorities,Irregularly,Some of them,Helmets Gumboots,Pit latrines
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6477,18,IPIS,IPIS - ZELA 2019,zwemine00017,N/A,2019-02-20,0,1,POINT (30.0836381276495 -20.3234555468883),30.08363813,-20.32345555,8,Maglas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6476,19,IPIS,IPIS - ZELA 2019,zwemine00019,River bank panning,2019-02-20,1,1,POINT (30.0858125250353 -20.3251150449663),30.08581253,-20.32511504,13,Maglas,Production,Riverbed,No,Authority Accessibility,,,Foot,1,0,,0,,Shovels,In a support village,1,Gold,other,On site,Panning,Yes,Siltation,None,,None,,None,,None,,In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6475,20,IPIS,IPIS - ZELA 2019,zwemine00020,N/A,2019-02-20,1,1,POINT (30.0881449438722 -20.3263235574135),30.08814494,-20.32632356,14,Manjere,Abandoned permanently / forfeited,underground / Reef,No,Financial issue,,,Foot,2,0,,0,,Shovels,In a support village,1,Gold,other,Milling point,,Yes,"Huge open pits, waste not properly managed",None,,None,,None,,None,,In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6474,21,IPIS,IPIS - ZELA 2019,zwemine00021,Shabani mine,2019-02-20,1,1,POINT (30.0857188923582 -20.3201901834),30.08571889,-20.32019018,8,Maglas,Production,underground / Reef,Yes,,2018-10-01,tributery,Truck,7,0,,0,,Hoist (winches) Compressors Jack hammers Shovels,On site,1,Gold,Fidelity Agent on the mill,Milling point,,No,,None,,None,,CID Min of Mines,Irregularly,Some of them,Helmets Gumboots,Pit latrines
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6473,22,IPIS,IPIS - ZELA 2019,zwemine00022,Nhamo 56,2019-02-20,0,1,POINT (30.110950060904 -20.320203786592),30.11095006,-20.32020379,13,Machovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6472,23,IPIS,IPIS - ZELA 2019,zwemine00023,Bwatikona,2019-02-20,0,1,POINT (30.1143311995614 -20.3136078169397),30.1143312,-20.31360782,13,Machovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6471,24,IPIS,IPIS - ZELA 2019,zwemine00024,Nhomo56,2019-02-20,0,1,POINT (30.1091836511319 -20.3111074160941),30.10918365,-20.31110742,13,Machovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6470,25,IPIS,IPIS - ZELA 2019,zwemine00025,Mbizo,2019-02-20,0,1,POINT (30.1075925860863 -20.3077328935787),30.10759259,-20.30773289,13,Machovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-646f,26,IPIS,IPIS - ZELA 2019,zwemine00026,Shabani87,2019-02-20,0,1,POINT (30.0973634623543 -20.3181098491113),30.09736346,-20.31810985,13,Machovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-646e,27,IPIS,IPIS - ZELA 2019,zwemine00027,Shabani 48,2019-02-20,1,1,POINT (30.112719172577 -20.3209725358224),30.11271917,-20.32097254,13,Hippo pools,Production,underground / Reef,Yes,,,Cooperatives,Truck Car Motorcycle Foot,11,0,,0,,Jack hammers Compressors,On site,1,Gold,Fidelity Agent on the mill,Milling point,,Yes,"Open pits, land deforestration",None,,None,,Police CID Min of Mines,Irregularly,Some of them,Helmets Gumboots Gloves,In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-646d,28,IPIS,IPIS - ZELA 2019,zwemine00028,Monte carlo,2019-02-21,1,1,POINT (30.1303646266849 -20.4034932108287),30.13036463,-20.40349321,14,South devon 10b,Production,underground / Reef,Yes,,2018-04-21,tributery,Truck,6,0,,0,,"Hoist (winches) Chisels,pick, shovels, hammers",On site,1,Gold,other,Milling point,,Yes,"Cut down trees, open pits, no waste management",None,,None,,None,,None,,In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-646c,37,IPIS,IPIS - ZELA 2019,zwemine00036,Devon,2019-02-21,0,1,POINT (30.1554945014333 -20.4434262369968),30.1554945,-20.44342624,14,South Devon 10a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-646b,29,IPIS,IPIS - ZELA 2019,zwemine00029,Monte carlo,2019-02-21,1,1,POINT (30.1305746790864 -20.4037480209944),30.13057468,-20.40374802,14,South Devon,Production,Open Cast / Alluvial / trench,Yes,,2018-06-20,tributery,Truck,2,0,,0,,"Pick, shovel, hammers, crow bar, chisel",In a support village,1,Gold,Fidelity Directly,Milling point,,Yes,"Trees cut down, open pits",None,,None,,None,,None,,In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-646a,30,IPIS,IPIS - ZELA 2019,zwemine00110,Mount Carlo,2019-02-21,1,1,POINT (30.1309803698322 -20.4038046424161),30.13098037,-20.40380464,14,South devon 10,Production,underground / Reef,Yes,,2018-10-01,tributery,Truck,20,0,,0,,"Compressors Hoist (winches) Shovels, hammers",On site In a support village,1,Gold,Fidelity Directly,Milling point,,Yes,Trenches waste management is poor,None,,None,,CID Police,Irregularly,Some of them,Helmets Gumboots Worksuits (overalls),Pit latrines
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6469,31,IPIS,IPIS - ZELA 2019,zwemine00030,Mount carlo,2019-02-21,1,1,POINT (30.1309111272574 -20.4044409111033),30.13091113,-20.40444091,14,South devon 10,Production,Open Cast / Alluvial / trench,Yes,,2018-08-01,tributery,Truck,4,0,,0,,"Shovels, picks  hammers, crow bars",In a support village,1,Gold,Fidelity Agent on the mill,Milling point,,Yes,"Trees cut down, pits everywhere",None,,None,,Police,Irregularly,None,,In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6468,32,IPIS,IPIS - ZELA 2019,zwemine00031,Devon 1,2019-02-21,1,1,POINT (30.1440320159914 -20.4054750109635),30.14403202,-20.40547501,14,South devon 10b,Production,underground / Reef,Yes,,2004-01-01,Individual,Truck,8,0,,0,,"Hoist (winches) Compressors Jack hammers  Shovels, pick, crow bar, chisel, generator",On site,1,Gold,Fidelity Directly,Milling point,,No,,None,,None,,EMA CID,Irregularly,Some of them,Helmets Gumboots,Pit latrines
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6467,33,IPIS,IPIS - ZELA 2019,zwemine00032,Rugare mine,2019-02-21,1,1,POINT (30.1445972696788 -20.4037592117784),30.14459727,-20.40375921,14,South devon 10b,Abandoned temporarily,underground / Reef,Yes,,2017-01-01,Cooperatives,Truck,5,1,Surface digging,0,,"Hoist (winches) Shovels, picks, hammers,",In a support village,1,Gold,Fidelity Directly,Milling point,,Yes,"Open pits, trenches",None,,None,,None,,None,,In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6466,34,IPIS,IPIS - ZELA 2019,zwemine00033,PBT mine,2019-02-21,1,1,POINT (30.1396870023824 -20.4121101410258),30.139687,-20.41211014,14,South devon99,Abandoned temporarily,underground / Reef,Yes,,2014-01-01,Individual,Truck,0,0,,0,,"Picks, shovels",In a support village,1,Gold,Fidelity Directly,Milling point,,Yes,"Open trenches, filled with water",None,,None,,None,,None,,Pit latrines
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6465,35,IPIS,IPIS - ZELA 2019,zwemine00034,Devon 85,2019-02-21,1,1,POINT (30.1420439739483 -20.3987004521977),30.14204397,-20.39870045,14,Murandu,Production,underground / Reef,Yes,,1990-01-01,Individual,Truck,6,0,,0,,"Hammer mills, ball mill, shovels, picks, hammers, chisels",On site,1,Gold,Fidelity Directly,On site,Crushing Slicing Use of mercury,Yes,Land cleared of trees,None,,None,,Min of Mines EMA CID,Irregularly,None,,Pit latrines
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6464,36,IPIS,IPIS - ZELA 2019,zwemine00035,Devon 91,2019-02-21,1,1,POINT (30.15279204071 -20.4273881587798),30.15279204,-20.42738816,14,South Devon 10a,Abandoned temporarily,underground / Reef,Yes,,2011-01-01,Individual,Truck,4,0,,0,,"Pick, shovels, hammers, chisels",On site,1,Gold,Fidelity Agent on the mill,Milling point,,No,,None,,None,,None,,None,,None
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6463,38,IPIS,IPIS - ZELA 2019,zwemine00037,Youth ttibute Sabi mine,2019-02-21,1,1,POINT (30.131118303246 -20.3728571186775),30.1311183,-20.37285712,14,Gwemvura chena6,Production,underground / Reef,No,,,,Truck,7,0,,0,,Jack hammers Compressors Hoist (winches) Drill bit,On site,1,Gold,Fidelity Directly,Milling point,,No,,Local vs foreigners,Others they want others to mine where there are no samples,None,,None,,None,,None
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6462,39,IPIS,IPIS - ZELA 2019,zwemine00038,Youth tribute Sabi,2019-02-21,1,1,POINT (30.1313535257275 -20.3746535344748),30.13135353,-20.37465353,14,6,Production,underground / Reef,No,,,,Truck,8,0,,0,,Jack hammers Compressors Hoist (winches),On site,1,Gold,Fidelity Directly,Milling point,,No,,None,,None,,None,,None,,None
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6461,40,IPIS,IPIS - ZELA 2019,zwemine00039,Youth Tribute Sabi,2019-02-21,0,1,POINT (30.1202858287573 -20.3465791599198),30.12028583,-20.34657916,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6460,41,IPIS,IPIS - ZELA 2019,zwemine00040,Nhamo mine,2019-02-21,0,1,POINT (30.1195168390832 -20.3475090412849),30.11951684,-20.34750904,14,Gwemvura chena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-645f,42,IPIS,IPIS - ZELA 2019,zwemine00041,Devon,2019-02-21,1,1,POINT (30.1299927867161 -20.4023591531256),30.12999279,-20.40235915,14,Murambi,Production,underground / Reef,Yes,,1974-02-21,Individual,Truck,16,0,,0,,"Picks, shovels, pulleys Jack hammers Compressors",On site,1,Gold,Fidelity Directly,Milling point,,Yes,Deforestation,None,,None,,None,,Some of them,Worksuits (overalls) Facemasks Gloves,None
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-645e,43,IPIS,IPIS - ZELA 2019,zwemine00042,Mount carlo,2019-02-21,1,1,POINT (30.1304160653222 -20.4000513318754),30.13041607,-20.40005133,14,Murambi,Production,underground / Reef,Yes,,,tributery,Truck,4,0,,0,,"Pulley, buckets, chisel, hammers Compressors Jack hammers",On site,1,Gold,Fidelity Directly,Milling point,,No,,None,,None,,None,,None,,None
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-645d,44,IPIS,IPIS - ZELA 2019,zwemine00043,Devon 39,2019-02-21,1,1,POINT (30.1313084979471 -20.4091816592066),30.1313085,-20.40918166,14,Murambi,Production,underground / Reef,Yes,,1999-01-04,Individual,Truck,5,1,Surface digging,0,,"Chisels, pick, shovel",On site,1,Gold,Fidelity Directly,Milling point,,Yes,Open pits,None,,None,,None,,None,,Pit latrines
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-645c,45,IPIS,IPIS - ZELA 2019,zwemine00044,Chabwino 5,2019-02-21,1,1,POINT (30.1395233772386 -20.4063415274763),30.13952338,-20.40634153,14,Murambi,Production,Open Cast / Alluvial / trench,Yes,,2010-01-04,Individual,Truck,6,0,,0,,"Pick , shovels",On site,1,Gold,Fidelity Directly,Milling point,,No,,None,,None,,EMA CID Min of Mines Police Local authorities Health,Irregularly,All of them,Helmets Gumboots Worksuits (overalls) Gloves Safety glasses,Pit latrines
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-645b,46,IPIS,IPIS - ZELA 2019,zwemine00045,Devon 85,2019-02-21,1,1,POINT (30.1379738951819 -20.4058634228378),30.1379739,-20.40586342,14,Murambi,Abandoned temporarily,underground / Reef,Yes,,2011-02-21,Individual,Truck,5,0,,0,,"Compressors Shovel,buckets,pulley",On a compound,1,Gold,Fidelity Directly,Milling point,,Yes,Open pits,None,,None,,None,,Most of them,Helmets Gumboots Worksuits (overalls),Pit latrines
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-645a,47,IPIS,IPIS - ZELA 2019,zwemine00046,Devon 88,2019-02-21,1,1,POINT (30.1415954738297 -20.4229421567699),30.14159547,-20.42294216,14,Ndigune,Production,underground / Reef,Yes,,2012-03-29,Individual,Truck,5,1,Mine blaster,0,,"Jack hammers Compressors Shovels, picks, chisels, hammers",On site,1,Gold,Fidelity Directly,Milling point,,Yes,Open pits,Land disputes,Miner to miner due to double pegging,None,,EMA Police CID Min of Mines Local authorities,Irregularly,All of them,Gumboots Helmets Worksuits (overalls) Gloves Facemasks Safety glasses Earmuffs,None
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6459,48,IPIS,IPIS - ZELA 2019,zwemine00047,Devon 87,2019-02-21,1,1,POINT (30.1428163501849 -20.4243868979232),30.14281635,-20.4243869,14,Ndigune,Production,underground / Reef,Yes,,2009-01-21,Individual,Truck,20,8,Surface digging,0,,"Jack hammers Compressors Shovels, pick,hammers",On site,1,Gold,Fidelity Directly,Milling point,,No,,None,,None,,EMA CID Local authorities,Irregularly,All of them,Helmets Gumboots Worksuits (overalls) Gloves Facemasks,Pit latrines
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6458,49,IPIS,IPIS - ZELA 2019,zwemine00048,Canada 64,2019-02-21,1,1,POINT (30.113426764666 -20.3896299505229),30.11342676,-20.38962995,11,Murambi,Production,underground / Reef,Yes,,2001-01-04,Individual,Truck,19,0,,0,,Jack hammers Compressors,On site,1,Gold,Fidelity Directly,Milling point,,Yes,"Noise pollution, water pollution",Land disputes Environmental impacts,Miner to miner disputes due to unclarified forfeitures,None,,EMA Police CID Min of Mines Local authorities,Irregularly,All of them,Helmets Gumboots Worksuits (overalls) Gloves Facemasks Safety glasses Earmuffs,Pit latrines
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6457,50,IPIS,IPIS - ZELA 2019,zwemine00049,Kood 2,2019-02-21,1,1,POINT (30.1310994021111 -20.3789627482001),30.1310994,-20.37896275,14,Village8,Production,Open Cast / Alluvial / trench,No,Registration is in process,,,Car Motorcycle Foot,5,0,,0,,Jack hammers Compressors,On site,1,Gold,Fidelity Directly,Milling point,,Yes,The pit is timbered well,None,,None,,Police CID,Irregularly,Some of them,Gumboots Worksuits (overalls),In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6456,51,IPIS,IPIS - ZELA 2019,zwemine00050,Kudu,2019-02-21,0,1,POINT (30.1305540788186 -20.3795482786684),30.13055408,-20.37954828,14,Village 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6455,52,IPIS,IPIS - ZELA 2019,zwemine00051,Nhamo,2019-02-21,1,1,POINT (30.1214627951979 -20.3478381180177),30.1214628,-20.34783812,14,Village 6,Production,underground / Reef,Yes,,2018-06-21,Company,Truck Car Motorcycle Foot,14,0,,0,,Jack hammers Compressors,On site,1,Gold,Fidelity Directly,Milling point,,Yes,Open pits and deforestation,None,,None,,CID Local authorities,Irregularly,Some of them,Helmets Gumboots,In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6454,53,IPIS,IPIS - ZELA 2019,zwemine00052,Sabi vlei open pits,2019-02-21,0,1,POINT (30.1410663505728 -20.3825675029917),30.14106635,-20.3825675,14,Village 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6453,54,IPIS,IPIS - ZELA 2019,zwemine00053,sabi villay,2019-02-21,0,1,POINT (30.1413777103191 -20.3825377675554),30.14137771,-20.38253777,14,inferno farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6452,55,IPIS,IPIS - ZELA 2019,zwemine00054,sabi,2019-02-21,1,1,POINT (30.1314619654109 -20.3780389806229),30.13146197,-20.37803898,14,mazvihwa,Production,underground / Reef,Yes,,2019-01-11,tributery,Car,10,0,,,,Compressors Jack hammers,On site,1,Gold,Fidelity Directly,Milling point,,Yes,Open pits,None,,None,,Police,Irregularly,All of them,Helmets Gumboots Worksuits (overalls) Safety glasses Earmuffs Facemasks Gloves,In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6451,136,IPIS,IPIS - ZELA 2019,zwemine00132,DP,2019-02-23,0,1,POINT (29.8788680597129 -20.2985340008235),29.87886806,-20.298534,19,Vhukuzenzele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-6450,56,IPIS,IPIS - ZELA 2019,zwemine00055,sabi,2019-02-21,1,1,POINT (30.1312687389535 -20.3764849974255),30.13126874,-20.376485,14,mazvihwa,Production,underground / Reef,Yes,,2017-02-21,Cooperatives,Truck Car Motorcycle,8,0,,0,,Compressors Jack hammers,On a compound,1,Gold,Fidelity Directly,Milling point,,Yes,degradation,None,,None,,None,,Most of them,Helmets Gumboots Gloves Worksuits (overalls),In the bush
zwe_mines_curated_all_opendata_p_ipis.fid-7da56372_17205b0fff5_-644f,57,IPIS,IPIS - ZELA 2019,zwemine00056,sabi,2019-02-21,0,1,POINT (30.1289206486715 -20.3723736791817),30.12892065,-20.37237368,14,mazvihwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
